employee_shift_id,employee_id,shift_date,shift_start_time,shift_end_time,hourly_wage,location_id
1,198,2023-10-19,22:03:00,06:03:00,$15.00,1
2,199,2023-10-26,07:10:00,15:10:00,$15.00,3
3,200,2023-05-20,20:22:00,04:22:00,$18.50,2
4,201,2023-08-08,17:57:00,01:57:00,$25.00,4
5,202,2023-09-28,22:49:00,06:49:00,$20.00,1
6,203,2023-08-04,12:30:00,20:30:00,$22.50,4
7,204,2023-01-01,03:25:00,11:25:00,$21.00,2
8,205,2023-06-15,14:51:00,22:51:00,$28.00,2
9,206,2023-08-27,19:18:00,03:18:00,$19.50,4
10,100,2023-11-27,07:30:00,15:30:00,$35.00,1
11,101,2023-06-30,03:44:00,11:44:00,$32.50,1
12,102,2023-08-14,03:16:00,11:16:00,$32.50,2
13,103,2023-11-18,08:17:00,16:17:00,$24.00,4
14,104,2023-06-01,06:41:00,14:41:00,$24.00,1
15,105,2023-11-12,22:15:00,06:15:00,$24.00,5
16,106,2023-01-27,07:22:00,15:22:00,$24.00,4
17,107,2023-01-01,18:30:00,02:30:00,$24.00,3
18,108,2023-03-15,00:53:00,08:53:00,$30.00,5
19,109,2023-05-19,12:19:00,20:19:00,$20.50,1
20,110,2023-10-31,12:28:00,20:28:00,$20.50,1
21,111,2023-04-15,15:22:00,23:22:00,$20.50,5
22,112,2023-04-10,07:50:00,15:50:00,$20.50,4
23,113,2023-09-05,06:11:00,14:11:00,$20.50,1
24,114,2023-10-01,03:58:00,11:58:00,$26.00,5
25,115,2023-08-30,07:33:00,15:33:00,$17.00,4
26,116,2023-06-12,20:38:00,04:38:00,$17.00,2
27,117,2023-04-26,02:28:00,10:28:00,$17.00,2
28,118,2023-08-02,10:47:00,18:47:00,$17.00,2
29,119,2023-02-19,10:32:00,18:32:00,$17.00,1
30,120,2023-03-06,07:10:00,15:10:00,$27.00,5
31,121,2023-10-28,05:17:00,13:17:00,$27.00,5
32,122,2023-08-17,08:24:00,16:24:00,$27.00,3
33,123,2023-08-25,15:54:00,23:54:00,$27.00,1
34,124,2023-02-22,18:23:00,02:23:00,$27.00,3
35,125,2023-01-14,21:42:00,05:42:00,$15.00,2
36,126,2023-08-09,08:43:00,16:43:00,$15.00,1
37,127,2023-03-27,16:37:00,00:37:00,$15.00,2
38,128,2023-08-17,20:37:00,04:37:00,$15.00,3
39,129,2023-04-21,06:24:00,14:24:00,$15.00,5
40,130,2023-02-13,12:23:00,20:23:00,$15.00,5
41,131,2023-11-03,11:18:00,19:18:00,$15.00,1
42,132,2023-03-06,07:36:00,15:36:00,$15.00,5
43,133,2023-03-17,03:10:00,11:10:00,$15.00,5
44,134,2023-07-23,12:03:00,20:03:00,$15.00,4
45,135,2023-01-09,13:12:00,21:12:00,$15.00,1
46,136,2023-01-02,10:06:00,18:06:00,$15.00,3
47,137,2023-11-27,17:08:00,01:08:00,$15.00,1
48,138,2023-08-09,08:39:00,16:39:00,$15.00,3
49,139,2023-01-14,13:04:00,21:04:00,$15.00,3
50,140,2023-05-08,23:05:00,07:05:00,$15.00,5
51,198,2023-09-06,07:13:00,15:13:00,$15.00,1
52,199,2023-03-31,11:32:00,19:32:00,$15.00,3
53,200,2023-02-21,07:23:00,15:23:00,$18.50,2
54,201,2023-01-04,00:11:00,08:11:00,$25.00,4
55,202,2023-01-16,17:40:00,01:40:00,$20.00,1
56,203,2023-11-28,23:38:00,07:38:00,$22.50,4
57,204,2023-05-21,10:29:00,18:29:00,$21.00,2
58,205,2023-06-28,22:58:00,06:58:00,$28.00,2
59,206,2023-04-20,02:00:00,10:00:00,$19.50,4
60,100,2023-11-09,02:30:00,10:30:00,$35.00,1
61,101,2023-10-17,10:20:00,18:20:00,$32.50,1
62,102,2023-11-30,21:17:00,05:17:00,$32.50,2
63,103,2023-11-20,11:34:00,19:34:00,$24.00,4
64,104,2023-04-22,20:25:00,04:25:00,$24.00,1
65,105,2023-08-15,23:17:00,07:17:00,$24.00,5
66,106,2023-04-02,17:51:00,01:51:00,$24.00,4
67,107,2023-09-07,20:03:00,04:03:00,$24.00,3
68,108,2023-02-06,18:19:00,02:19:00,$30.00,5
69,109,2023-02-28,23:20:00,07:20:00,$20.50,1
70,110,2023-07-08,22:21:00,06:21:00,$20.50,1
71,111,2023-04-13,15:10:00,23:10:00,$20.50,5
72,112,2023-04-07,01:08:00,09:08:00,$20.50,4
73,113,2023-10-20,08:57:00,16:57:00,$20.50,1
74,114,2023-10-08,17:53:00,01:53:00,$26.00,5
75,115,2023-06-19,05:13:00,13:13:00,$17.00,4
76,116,2023-09-10,03:13:00,11:13:00,$17.00,2
77,117,2023-06-02,05:30:00,13:30:00,$17.00,2
78,118,2023-02-06,14:08:00,22:08:00,$17.00,2
79,119,2023-05-11,17:14:00,01:14:00,$17.00,1
80,120,2023-09-06,06:12:00,14:12:00,$27.00,5
81,121,2023-01-25,06:34:00,14:34:00,$27.00,5
82,122,2023-08-25,18:29:00,02:29:00,$27.00,3
83,123,2023-02-24,20:33:00,04:33:00,$27.00,1
84,124,2023-06-12,04:00:00,12:00:00,$27.00,3
85,125,2023-06-12,09:15:00,17:15:00,$15.00,2
86,126,2023-06-11,16:48:00,00:48:00,$15.00,1
87,127,2023-08-05,01:26:00,09:26:00,$15.00,2
88,128,2023-10-17,13:03:00,21:03:00,$15.00,3
89,129,2023-05-22,20:55:00,04:55:00,$15.00,5
90,130,2023-09-07,05:47:00,13:47:00,$15.00,5
91,131,2023-10-02,19:44:00,03:44:00,$15.00,1
92,132,2023-10-14,12:48:00,20:48:00,$15.00,5
93,133,2023-01-28,11:07:00,19:07:00,$15.00,5
94,134,2023-11-19,15:43:00,23:43:00,$15.00,4
95,135,2023-07-20,06:05:00,14:05:00,$15.00,1
96,136,2023-05-21,08:25:00,16:25:00,$15.00,3
97,137,2023-09-15,05:30:00,13:30:00,$15.00,1
98,138,2023-07-28,02:09:00,10:09:00,$15.00,3
99,139,2023-03-20,11:04:00,19:04:00,$15.00,3
100,140,2023-04-27,16:28:00,00:28:00,$15.00,5
101,198,2023-05-10,19:50:00,03:50:00,$15.00,1
102,199,2023-05-29,13:43:00,21:43:00,$15.00,3
103,200,2023-06-14,17:16:00,01:16:00,$18.50,2
104,201,2023-11-19,08:34:00,16:34:00,$25.00,4
105,202,2023-11-25,20:43:00,04:43:00,$20.00,1
106,203,2023-05-13,14:07:00,22:07:00,$22.50,4
107,204,2023-05-20,14:47:00,22:47:00,$21.00,2
108,205,2023-04-12,09:55:00,17:55:00,$28.00,2
109,206,2023-10-16,04:11:00,12:11:00,$19.50,4
110,100,2023-05-03,05:23:00,13:23:00,$35.00,1
111,101,2023-08-13,00:54:00,08:54:00,$32.50,1
112,102,2023-09-10,15:21:00,23:21:00,$32.50,2
113,103,2023-10-05,20:22:00,04:22:00,$24.00,4
114,104,2023-06-03,14:35:00,22:35:00,$24.00,1
115,105,2023-08-30,16:58:00,00:58:00,$24.00,5
116,106,2023-03-23,01:57:00,09:57:00,$24.00,4
117,107,2023-02-24,10:27:00,18:27:00,$24.00,3
118,108,2023-04-25,03:28:00,11:28:00,$30.00,5
119,109,2023-05-15,11:18:00,19:18:00,$20.50,1
120,110,2023-10-04,11:42:00,19:42:00,$20.50,1
121,111,2023-01-17,08:31:00,16:31:00,$20.50,5
122,112,2023-08-08,17:38:00,01:38:00,$20.50,4
123,113,2023-09-18,20:05:00,04:05:00,$20.50,1
124,114,2023-04-14,02:26:00,10:26:00,$26.00,5
125,115,2023-03-19,06:58:00,14:58:00,$17.00,4
126,116,2023-10-25,01:51:00,09:51:00,$17.00,2
127,117,2023-02-23,21:29:00,05:29:00,$17.00,2
128,118,2023-07-09,17:14:00,01:14:00,$17.00,2
129,119,2023-04-13,21:11:00,05:11:00,$17.00,1
130,120,2023-07-22,23:43:00,07:43:00,$27.00,5
131,121,2023-08-18,14:19:00,22:19:00,$27.00,5
132,122,2023-09-19,21:18:00,05:18:00,$27.00,3
133,123,2023-07-27,21:59:00,05:59:00,$27.00,1
134,124,2023-04-07,06:34:00,14:34:00,$27.00,3
135,125,2023-01-09,03:40:00,11:40:00,$15.00,2
136,126,2023-09-18,01:43:00,09:43:00,$15.00,1
137,127,2023-10-24,02:05:00,10:05:00,$15.00,2
138,128,2023-06-13,02:03:00,10:03:00,$15.00,3
139,129,2023-03-23,11:06:00,19:06:00,$15.00,5
140,130,2023-04-20,10:02:00,18:02:00,$15.00,5
141,131,2023-06-13,12:10:00,20:10:00,$15.00,1
142,132,2023-04-27,20:00:00,04:00:00,$15.00,5
143,133,2023-11-28,06:50:00,14:50:00,$15.00,5
144,134,2023-09-26,16:11:00,00:11:00,$15.00,4
145,135,2023-01-23,05:28:00,13:28:00,$15.00,1
146,136,2023-02-01,09:24:00,17:24:00,$15.00,3
147,137,2023-01-08,14:36:00,22:36:00,$15.00,1
148,138,2023-03-28,19:33:00,03:33:00,$15.00,3
149,139,2023-04-16,19:00:00,03:00:00,$15.00,3
150,140,2023-02-08,14:04:00,22:04:00,$15.00,5
151,198,2023-09-13,04:50:00,12:50:00,$15.00,1
152,199,2023-01-13,21:41:00,05:41:00,$15.00,3
153,200,2023-08-05,23:47:00,07:47:00,$18.50,2
154,201,2023-08-04,20:29:00,04:29:00,$25.00,4
155,202,2023-01-29,06:57:00,14:57:00,$20.00,1
156,203,2023-10-15,11:36:00,19:36:00,$22.50,4
157,204,2023-04-17,08:00:00,16:00:00,$21.00,2
158,205,2023-09-30,17:38:00,01:38:00,$28.00,2
159,206,2023-08-22,18:33:00,02:33:00,$19.50,4
160,100,2023-05-02,08:18:00,16:18:00,$35.00,1
161,101,2023-05-09,12:57:00,20:57:00,$32.50,1
162,102,2023-07-16,10:48:00,18:48:00,$32.50,2
163,103,2023-06-03,20:02:00,04:02:00,$24.00,4
164,104,2023-10-06,06:22:00,14:22:00,$24.00,1
165,105,2023-04-18,10:20:00,18:20:00,$24.00,5
166,106,2023-09-17,11:11:00,19:11:00,$24.00,4
167,107,2023-01-12,03:00:00,11:00:00,$24.00,3
168,108,2023-03-20,12:11:00,20:11:00,$30.00,5
169,109,2023-10-23,00:04:00,08:04:00,$20.50,1
170,110,2023-01-07,22:04:00,06:04:00,$20.50,1
171,111,2023-10-13,11:28:00,19:28:00,$20.50,5
172,112,2023-04-13,16:39:00,00:39:00,$20.50,4
173,113,2023-01-30,08:31:00,16:31:00,$20.50,1
174,114,2023-05-16,00:56:00,08:56:00,$26.00,5
175,115,2023-07-31,06:29:00,14:29:00,$17.00,4
176,116,2023-07-07,09:15:00,17:15:00,$17.00,2
177,117,2023-07-18,21:43:00,05:43:00,$17.00,2
178,118,2023-11-26,02:08:00,10:08:00,$17.00,2
179,119,2023-10-11,08:37:00,16:37:00,$17.00,1
180,120,2023-02-10,12:50:00,20:50:00,$27.00,5
181,121,2023-11-27,17:54:00,01:54:00,$27.00,5
182,122,2023-04-19,05:12:00,13:12:00,$27.00,3
183,123,2023-04-13,10:33:00,18:33:00,$27.00,1
184,124,2023-07-14,05:13:00,13:13:00,$27.00,3
185,125,2023-10-14,07:45:00,15:45:00,$15.00,2
186,126,2023-03-01,09:39:00,17:39:00,$15.00,1
187,127,2023-02-16,18:58:00,02:58:00,$15.00,2
188,128,2023-07-04,10:53:00,18:53:00,$15.00,3
189,129,2023-01-08,17:58:00,01:58:00,$15.00,5
190,130,2023-04-05,22:06:00,06:06:00,$15.00,5
191,131,2023-03-09,13:35:00,21:35:00,$15.00,1
192,132,2023-05-06,17:39:00,01:39:00,$15.00,5
193,133,2023-04-11,16:44:00,00:44:00,$15.00,5
194,134,2023-02-07,15:44:00,23:44:00,$15.00,4
195,135,2023-06-16,18:45:00,02:45:00,$15.00,1
196,136,2023-09-13,21:21:00,05:21:00,$15.00,3
197,137,2023-05-20,09:58:00,17:58:00,$15.00,1
198,138,2023-06-09,02:50:00,10:50:00,$15.00,3
199,139,2023-04-21,06:45:00,14:45:00,$15.00,3
200,140,2023-11-09,05:21:00,13:21:00,$15.00,5
201,198,2023-04-22,22:44:00,06:44:00,$15.00,1
202,199,2023-08-15,03:32:00,11:32:00,$15.00,3
203,200,2023-06-05,05:43:00,13:43:00,$18.50,2
204,201,2023-08-15,18:49:00,02:49:00,$25.00,4
205,202,2023-01-18,20:01:00,04:01:00,$20.00,1
206,203,2023-05-20,19:13:00,03:13:00,$22.50,4
207,204,2023-10-15,13:50:00,21:50:00,$21.00,2
208,205,2023-02-16,21:15:00,05:15:00,$28.00,2
209,206,2023-06-20,02:10:00,10:10:00,$19.50,4
210,100,2023-04-28,12:23:00,20:23:00,$35.00,1
211,101,2023-02-03,08:37:00,16:37:00,$32.50,1
212,102,2023-09-12,05:16:00,13:16:00,$32.50,2
213,103,2023-09-07,06:29:00,14:29:00,$24.00,4
214,104,2023-04-19,13:07:00,21:07:00,$24.00,1
215,105,2023-05-09,17:07:00,01:07:00,$24.00,5
216,106,2023-02-19,08:01:00,16:01:00,$24.00,4
217,107,2023-03-30,20:09:00,04:09:00,$24.00,3
218,108,2023-11-18,04:39:00,12:39:00,$30.00,5
219,109,2023-05-05,07:59:00,15:59:00,$20.50,1
220,110,2023-10-24,14:00:00,22:00:00,$20.50,1
221,111,2023-07-02,06:05:00,14:05:00,$20.50,5
222,112,2023-08-01,13:48:00,21:48:00,$20.50,4
223,113,2023-08-02,19:11:00,03:11:00,$20.50,1
224,114,2023-08-25,20:17:00,04:17:00,$26.00,5
225,115,2023-09-15,02:54:00,10:54:00,$17.00,4
226,116,2023-06-10,10:57:00,18:57:00,$17.00,2
227,117,2023-04-23,12:56:00,20:56:00,$17.00,2
228,118,2023-04-11,06:17:00,14:17:00,$17.00,2
229,119,2023-09-28,04:30:00,12:30:00,$17.00,1
230,120,2023-08-05,05:05:00,13:05:00,$27.00,5
231,121,2023-05-27,22:45:00,06:45:00,$27.00,5
232,122,2023-09-22,08:34:00,16:34:00,$27.00,3
233,123,2023-05-19,00:46:00,08:46:00,$27.00,1
234,124,2023-06-29,15:59:00,23:59:00,$27.00,3
235,125,2023-04-12,22:18:00,06:18:00,$15.00,2
236,126,2023-07-07,15:18:00,23:18:00,$15.00,1
237,127,2023-01-18,13:23:00,21:23:00,$15.00,2
238,128,2023-07-15,19:47:00,03:47:00,$15.00,3
239,129,2023-07-11,09:08:00,17:08:00,$15.00,5
240,130,2023-03-17,18:42:00,02:42:00,$15.00,5
241,131,2023-01-05,08:50:00,16:50:00,$15.00,1
242,132,2023-08-23,19:22:00,03:22:00,$15.00,5
243,133,2023-06-04,12:25:00,20:25:00,$15.00,5
244,134,2023-05-09,22:58:00,06:58:00,$15.00,4
245,135,2023-06-28,18:06:00,02:06:00,$15.00,1
246,136,2023-10-10,10:56:00,18:56:00,$15.00,3
247,137,2023-03-03,11:26:00,19:26:00,$15.00,1
248,138,2023-08-18,15:47:00,23:47:00,$15.00,3
249,139,2023-04-01,21:57:00,05:57:00,$15.00,3
250,140,2023-05-19,02:16:00,10:16:00,$15.00,5
